snapshot_time,vessel,code,lane,rob_lsfo,rob_hsfo,rob_mgo,rob_ulsfo,rob_bw,rob_fw,found,report_time,sender
2026-08-27 10:26,ZHONG GU YIN CHUAN,ZGYC,REX,110.48,0.0,382.39,0.0,13231.0,176.0,1,2026-08-26 13:24:08,zgyc@zhonggushipping.com
2026-08-27 10:26,CUL HOCHIMINH,CUHC,AEM,337.21,669.662,154.39,0.0,4352.0,129.0,1,2026-08-26 13:01:17,culhochiminh@CULINES.COM
2026-08-27 10:26,CUL SHEKOU,CUSK,AEM,289.93,0.77,43.46,0.0,4710.9,149.0,1,2026-08-26 12:05:58,culshekou@CULINES.COM
2026-08-27 10:26,ZHONG GU NAN CHANG,ZGNC,AEM,376.59,,214.3,0.0,16221.0,218.0,1,2026-08-26 17:28:41,zgnc@zhonggushipping.com
2026-08-27 10:26,FU YU,FUYU,SGX,265.14,,52.7,,4690.3,111.0,1,2026-08-26 12:24:40,fuyu@lanbaoism.com
2026-08-27 10:26,HUA DONG 811,H811,SGX,264.0,0.0,43.29,0.0,5403.0,255.0,1,2026-08-26 12:07:40,huadong811@msatmail.com
2026-08-27 10:26,KAI DA HONG ZHOU,KDHZ,RTS,125.23,0.0,132.758,0.0,2570.0,142.0,1,2026-08-26 17:43:51,KDHZ@Sunward-shipping.com
2026-08-27 10:26,SUNNY 68,SY68,RTS,216.57,,56.42,,2743.0,108.0,1,2026-08-26 16:54:26,sunny68@lianjieship.com.cn
2026-08-27 10:26,NEW THINKER,NWTR,JPS,251.11,0.0,47.25,0.0,3054.27,95.0,1,2026-08-26 21:24:07,newthinker@lianjieship.com.cn
2026-08-27 10:26,ZHONG LIAN SHAN TOU,ZLST,RTS,221.16,,103.34,,1602.0,54.0,1,2026-08-25 23:45:26,culshantou@CULINES.COM
2026-08-27 10:26,CUL HUMEN,CUHM,RTS,823.8,0.0,128.57,0.0,4111.0,76.0,1,2026-08-26 16:57:48,culhumen@culines.com
2026-08-27 10:26,KR TASMAN,KRTM,RTS,768.17,,57.6,,1551.7,155.0,1,2026-08-26 15:53:23,krtasman@krsline.com
2026-08-27 10:26,ZBM,CZBM,IMR,463.8,,134.0,,5419.0,150.0,1,2026-08-27 02:53:08,master.zbm@nautivoyage.com
2026-08-27 10:26,ZHONG GU ZHU HAI,ZGZH,RES,280.18,,3.33,,6937.0,121.0,1,2026-08-27 06:33:39,zhongguzhuhai@zhonggushipping.com
2026-08-27 10:26,EXPRESS BERLIN,XPBL,CGX,1222.9,0.0,569.9,0.0,16614.0,482.0,1,2026-08-26 14:33:00,vsl_117@danaos.com
2026-08-27 10:26,NILEDUTCH LION,NILEDUTCH LION,CGX,,,,,,,0,,
2026-08-27 10:26,BAMSI BEYREK,BIBK,HLX,1524.5,0.0,124.8,0.0,6220.0,204.0,1,2026-08-26 14:03:15,bamsibeyrek@negmar.com
2026-08-27 10:26,STAR BLESSING,STBE,IMR,862.9,0.0,72.8,0.0,3908.0,262.0,1,2026-08-26 15:12:14,starblessing@163.com
2026-08-27 10:26,ASR,ASRR,NAX,0.0,267.0,38.7,184.0,1764.0,49.0,1,2026-08-26 18:59:02,asr@speedmailplus.com
2026-08-27 10:26,MEDKON DON,MEDKON DON,NAX,206.0,,106.1,509.7,3710.5,72.0,1,2026-08-26 20:45:43,medkondon@om-email.net
2026-08-27 10:26,MEDKON LIA,MKLA,NAX,0.0,0.0,35.1,153.04,,105.0,1,2026-08-27 07:17:26,master@medkonlia.com
2026-08-27 10:26,CUL HUANGPU,CUHA,NSCT1,434.87,0.0,45.58,0.0,2630.0,196.0,1,2026-08-26 16:14:37,culhuangpu@culines.com
2026-08-27 10:26,M. MARINER,MMRN,CST/SL1/SGX,406.44,,87.85,,2800.0,185.0,1,2026-08-26 13:54:40,m.mariner@canopus-mail.com
2026-08-27 10:26,RACINE,RACE,KCI,1812.6,0.0,312.6,0.0,14602.0,247.0,1,2026-08-27 06:28:33,vsl_67@danaos.com
